"days","loss_count","loss_type","claim_source","time_frame","loss_country","minimum","maximum","category","source_target"
1,10,"Civilian Deaths-Ukraine","UA Source","Day","Ukraine",0,0,"Civilian Deaths","UA Source-Ukraine"
56,40,"Military Deaths-Ukraine","RU Source","Day","Ukraine",0,0,"Military Deaths","RU Source-Ukraine"
73,400,"Military Deaths-Russia","UA Source","Day","Russia",0,0,"Military Deaths","UA Source-Russia"
4,56,"Tanks-Russia","UA Source","Day","Russia",0,0,"Tanks","UA Source-Russia"
38,8,"Tanks-Russia","UA Source","Day","Russia",0,0,"Tanks","UA Source-Russia"
38,44,"Armored Vehicles-Russia","UA Source","Day","Russia",0,0,"Armored Vehicles","UA Source-Russia"
38,10,"Artillery-Russia","UA Source","Day","Russia",0,0,"Artillery","UA Source-Russia"
38,3,"UAVs-Russia","UA Source","Day","Russia",0,0,"UAVs","UA Source-Russia"
50,2,"Tanks-Russia","UA Source","Day","Russia",0,0,"Tanks","UA Source-Russia"
53,5,"Artillery-Russia","UA Source","Day","Russia",0,0,"Artillery","UA Source-Russia"
53,15,"Armored Vehicles-Russia","UA Source","Day","Russia",0,0,"Armored Vehicles","UA Source-Russia"
53,2,"Helicopters-Russia","UA Source","Day","Russia",0,0,"Helicopters","UA Source-Russia"
63,4,"Tanks-Russia","UA Source","Day","Russia",0,0,"Tanks","UA Source-Russia"
63,2,"Jets-Russia","UA Source","Day","Russia",0,0,"Jets","UA Source-Russia"
63,10,"UAVs-Russia","UA Source","Day","Russia",0,0,"UAVs","UA Source-Russia"
74,15,"Tanks-Russia","UA Source","Day","Russia",0,0,"Tanks","UA Source-Russia"
74,12,"Artillery-Russia","UA Source","Day","Russia",0,0,"Artillery","UA Source-Russia"
74,12,"Armored Vehicles-Russia","UA Source","Day","Russia",0,0,"Armored Vehicles","UA Source-Russia"
74,2,"UAVs-Russia","UA Source","Day","Russia",0,0,"UAVs","UA Source-Russia"
77,12,"Tanks-Russia","UA Source","Day","Russia",0,0,"Tanks","UA Source-Russia"
2,2800,"Military Deaths-Russia","UA Source","Day","Russia",0,0,"Military Deaths","UA Source-Russia"
2,80,"Tanks-Russia","UA Source","Day","Russia",0,0,"Tanks","UA Source-Russia"
2,516,"Armored Vehicles-Russia","UA Source","Day","Russia",0,0,"Armored Vehicles","UA Source-Russia"
2,10,"Jets-Russia","UA Source","Day","Russia",0,0,"Jets","UA Source-Russia"
2,7,"Helicopters-Russia","UA Source","Day","Russia",0,0,"Helicopters","UA Source-Russia"
6,2,"Jets-Russia","UA Source","Day","Russia",0,0,"Jets","UA Source-Russia"
11,5,"Jets-Russia","UA Source","Day","Russia",0,0,"Jets","UA Source-Russia"
11,3,"Helicopters-Russia","UA Source","Day","Russia",0,0,"Helicopters","UA Source-Russia"
20,4,"Helicopters-Russia","UA Source","Day","Russia",0,0,"Helicopters","UA Source-Russia"
20,1,"Jets-Russia","UA Source","Day","Russia",0,0,"Jets","UA Source-Russia"
23,7,"Jets-Russia","UA Source","Day","Russia",0,0,"Jets","UA Source-Russia"
23,1,"Helicopters-Russia","UA Source","Day","Russia",0,0,"Helicopters","UA Source-Russia"
23,3,"UAVs-Russia","UA Source","Day","Russia",0,0,"UAVs","UA Source-Russia"
32,1,"Jets-Russia","UA Source","Day","Russia",0,0,"Jets","UA Source-Russia"
32,12,"UAVs-Russia","UA Source","Day","Russia",0,0,"UAVs","UA Source-Russia"
39,1,"UAVs-Russia","UA Source","Day","Russia",0,0,"UAVs","UA Source-Russia"
39,2,"Jets-Russia","UA Source","Day","Russia",0,0,"Jets","UA Source-Russia"
39,1,"Helicopters-Russia","UA Source","Day","Russia",0,0,"Helicopters","UA Source-Russia"
58,3,"Ships-Russia","UA Source","Day","Russia",0,0,"Ships","UA Source-Russia"
58,3,"Helicopters-Russia","UA Source","Day","Russia",0,0,"Helicopters","UA Source-Russia"
62,4,"UAVs-Russia","UA Source","Day","Russia",0,0,"UAVs","UA Source-Russia"
62,3,"Jets-Russia","UA Source","Day","Russia",0,0,"Jets","UA Source-Russia"
72,1,"Jets-Russia","UA Source","Day","Russia",0,0,"Jets","UA Source-Russia"
72,14,"UAVs-Russia","UA Source","Day","Russia",0,0,"UAVs","UA Source-Russia"
87,3,"UAVs-Russia","UA Source","Day","Russia",0,0,"UAVs","UA Source-Russia"
1,4,"Tanks-Russia","UA Source","Day","Russia",0,0,"Tanks","UA Source-Russia"
2,30,"Tanks-Russia","UA Source","Day","Russia",0,0,"Tanks","UA Source-Russia"
2,130,"Armored Vehicles-Russia","UA Source","Day","Russia",0,0,"Armored Vehicles","UA Source-Russia"
2,7,"Jets-Russia","UA Source","Day","Russia",0,0,"Jets","UA Source-Russia"
2,6,"Helicopters-Russia","UA Source","Day","Russia",0,0,"Helicopters","UA Source-Russia"
3,102,"Tanks-Russia","UA Source","Day","Russia",0,0,"Tanks","UA Source-Russia"
3,11,"Helicopters-Russia","UA Source","Day","Russia",0,0,"Helicopters","UA Source-Russia"
3,15,"Artillery-Russia","UA Source","Day","Russia",0,0,"Artillery","UA Source-Russia"
3,536,"Armored Vehicles-Russia","UA Source","Day","Russia",0,0,"Armored Vehicles","UA Source-Russia"
26,2,"Tanks-Russia","UA Source","Day","Russia",0,0,"Tanks","UA Source-Russia"
26,1,"Ships-Russia","UA Source","Day","Russia",0,0,"Ships","UA Source-Russia"
37,280,"Military Deaths-Russia","UA Source","Day","Russia",0,0,"Military Deaths","UA Source-Russia"
37,6,"Tanks-Russia","UA Source","Day","Russia",0,0,"Tanks","UA Source-Russia"
37,2,"MLRS-Russia","UA Source","Day","Russia",0,0,"MLRS","UA Source-Russia"
37,6,"Artillery-Russia","UA Source","Day","Russia",0,0,"Artillery","UA Source-Russia"
37,3,"UAVs-Russia","UA Source","Day","Russia",0,0,"UAVs","UA Source-Russia"
67,57,"Military Deaths-Russia","UA Source","Day","Russia",0,0,"Military Deaths","UA Source-Russia"
67,1,"Tanks-Russia","UA Source","Day","Russia",0,0,"Tanks","UA Source-Russia"
68,6,"Tanks-Russia","UA Source","Day","Russia",0,0,"Tanks","UA Source-Russia"
68,5,"UAVs-Russia","UA Source","Day","Russia",0,0,"UAVs","UA Source-Russia"
69,40,"Military Deaths-Russia","UA Source","Day","Russia",0,0,"Military Deaths","UA Source-Russia"
69,5,"Tanks-Russia","UA Source","Day","Russia",0,0,"Tanks","UA Source-Russia"
82,178,"Military Deaths-Russia","UA Source","Day","Russia",0,0,"Military Deaths","UA Source-Russia"
82,5,"Tanks-Russia","UA Source","Day","Russia",0,0,"Tanks","UA Source-Russia"
87,36,"Military Deaths-Russia","UA Source","Day","Russia",0,0,"Military Deaths","UA Source-Russia"
87,3,"Tanks-Russia","UA Source","Day","Russia",0,0,"Tanks","UA Source-Russia"
87,1,"MLRS-Russia","UA Source","Day","Russia",0,0,"MLRS","UA Source-Russia"
3,6,"Jets-Russia","UA Source","Day","Russia",0,0,"Jets","UA Source-Russia"
18,3,"UAVs-Ukraine","RU Source","Day","Ukraine",0,0,"UAVs","RU Source-Ukraine"
18,1,"Helicopters-Ukraine","RU Source","Day","Ukraine",0,0,"Helicopters","RU Source-Ukraine"
28,6,"Jets-Russia","UA Source","Day","Russia",0,0,"Jets","UA Source-Russia"
28,1,"Helicopters-Russia","UA Source","Day","Russia",0,0,"Helicopters","UA Source-Russia"
28,5,"UAVs-Russia","UA Source","Day","Russia",0,0,"UAVs","UA Source-Russia"
34,200,"Military Deaths-Russia","UA Source","Day","Russia",0,0,"Military Deaths","UA Source-Russia"
34,11,"Tanks-Russia","UA Source","Day","Russia",0,0,"Tanks","UA Source-Russia"
34,1,"Artillery-Russia","UA Source","Day","Russia",0,0,"Artillery","UA Source-Russia"
34,1,"MLRS-Russia","UA Source","Day","Russia",0,0,"MLRS","UA Source-Russia"
34,4,"Jets-Russia","UA Source","Day","Russia",0,0,"Jets","UA Source-Russia"
34,2,"Helicopters-Russia","UA Source","Day","Russia",0,0,"Helicopters","UA Source-Russia"
34,28,"Vehicles & Fuel Tanks-Russia","UA Source","Day","Russia",0,0,"Vehicles & Fuel Tanks","UA Source-Russia"
52,1,"Jets-Russia","UA Source","Day","Russia",0,0,"Jets","UA Source-Russia"
52,1,"Helicopters-Russia","UA Source","Day","Russia",0,0,"Helicopters","UA Source-Russia"
52,3,"UAVs-Russia","UA Source","Day","Russia",0,0,"UAVs","UA Source-Russia"
81,58,"Tanks-Russia","UA Source","Day","Russia",0,0,"Tanks","UA Source-Russia"
81,26,"Artillery-Russia","UA Source","Day","Russia",0,0,"Artillery","UA Source-Russia"
81,1,"MLRS-Russia","UA Source","Day","Russia",0,0,"MLRS","UA Source-Russia"
81,98,"Armored Vehicles-Russia","UA Source","Day","Russia",0,0,"Armored Vehicles","UA Source-Russia"
81,4,"Helicopters-Russia","UA Source","Day","Russia",0,0,"Helicopters","UA Source-Russia"
81,27,"UAVs-Russia","UA Source","Day","Russia",0,0,"UAVs","UA Source-Russia"
83,178,"Military Deaths-Russia","UA Source","Day","Russia",0,0,"Military Deaths","UA Source-Russia"
83,5,"Tanks-Russia","UA Source","Day","Russia",0,0,"Tanks","UA Source-Russia"
83,3,"MLRS-Russia","UA Source","Day","Russia",0,0,"MLRS","UA Source-Russia"
83,1,"Artillery-Russia","UA Source","Day","Russia",0,0,"Artillery","UA Source-Russia"
83,1,"UAVs-Russia","UA Source","Day","Russia",0,0,"UAVs","UA Source-Russia"
84,3,"Tanks-Russia","UA Source","Day","Russia",0,0,"Tanks","UA Source-Russia"
84,3,"Artillery-Russia","UA Source","Day","Russia",0,0,"Artillery","UA Source-Russia"
84,1,"MLRS-Russia","UA Source","Day","Russia",0,0,"MLRS","UA Source-Russia"
84,6,"Armored Vehicles-Russia","UA Source","Day","Russia",0,0,"Armored Vehicles","UA Source-Russia"
86,13,"Ships-Russia","UA Source","Day","Russia",0,0,"Ships","UA Source-Russia"
87,43,"Armored Vehicles-Ukraine","RU Source","Day","Ukraine",0,0,"Armored Vehicles","RU Source-Ukraine"
87,14,"UAVs-Ukraine","RU Source","Day","Ukraine",0,0,"UAVs","RU Source-Ukraine"
87,8,"MLRS-Ukraine","RU Source","Day","Ukraine",0,0,"MLRS","RU Source-Ukraine"
87,270,"Military Deaths-Ukraine","RU Source","Day","Ukraine",0,0,"Military Deaths","RU Source-Ukraine"
90,2,"Tanks-Russia","UA Source","Day","Russia",0,0,"Tanks","UA Source-Russia"
94,250,"Military Deaths-Russia","UA Source","Day","Russia",0,0,"Military Deaths","UA Source-Russia"
109,100,"Military Deaths-Russia","UA Source","Day","Russia",0,0,"Military Deaths","UA Source-Russia"
112,250,"Military Deaths-Russia","UA Source","Day","Russia",0,0,"Military Deaths","UA Source-Russia"
141,300,"Military Deaths-Russia","UA Source","Day","Russia",0,0,"Military Deaths","UA Source-Russia"
157,10,"Tanks-Russia","UA Source","Day","Russia",0,0,"Tanks","UA Source-Russia"
157,8,"Armored Vehicles-Russia","UA Source","Day","Russia",0,0,"Armored Vehicles","UA Source-Russia"
157,6,"Artillery-Russia","UA Source","Day","Russia",0,0,"Artillery","UA Source-Russia"
157,19,"Vehicles & Fuel Tanks-Russia","UA Source","Day","Russia",0,0,"Vehicles & Fuel Tanks","UA Source-Russia"
157,2,"UAVs-Russia","UA Source","Day","Russia",0,0,"UAVs","UA Source-Russia"
170,46,"Military Deaths-Russia","UA Source","Day","Russia",0,0,"Military Deaths","UA Source-Russia"
170,15,"Armored Vehicles-Russia","UA Source","Day","Russia",0,0,"Armored Vehicles","UA Source-Russia"
170,11,"Ships-Russia","UA Source","Day","Russia",0,0,"Ships","UA Source-Russia"
171,8,"Tanks-Russia","UA Source","Day","Russia",0,0,"Tanks","UA Source-Russia"
171,11,"Armored Vehicles-Russia","UA Source","Day","Russia",0,0,"Armored Vehicles","UA Source-Russia"
187,250,"Military Deaths-Russia","UA Source","Day","Russia",0,0,"Military Deaths","UA Source-Russia"
188,160,"Military Deaths-Russia","UA Source","Day","Russia",0,0,"Military Deaths","UA Source-Russia"
187,1200,"Military Casualties-Ukraine","RU Source","Day","Ukraine",0,0,"Military Casualties","RU Source-Ukraine"
187,48,"Tanks-Ukraine","RU Source","Day","Ukraine",0,0,"Tanks","RU Source-Ukraine"
187,46,"Artillery-Ukraine","RU Source","Day","Ukraine",0,0,"Artillery","RU Source-Ukraine"
187,37,"Armored Vehicles-Ukraine","RU Source","Day","Ukraine",0,0,"Armored Vehicles","RU Source-Ukraine"
191,201,"Military Deaths-Russia","UA Source","Day","Russia",0,0,"Military Deaths","UA Source-Russia"
191,12,"Tanks-Russia","UA Source","Day","Russia",0,0,"Tanks","UA Source-Russia"
191,18,"Armored Vehicles-Russia","UA Source","Day","Russia",0,0,"Armored Vehicles","UA Source-Russia"
192,25,"Tanks-Russia","UA Source","Day","Russia",0,0,"Tanks","UA Source-Russia"
192,37,"Armored Vehicles-Russia","UA Source","Day","Russia",0,0,"Armored Vehicles","UA Source-Russia"
192,350,"Military Deaths-Russia","UA Source","Day","Russia",0,0,"Military Deaths","UA Source-Russia"
193,25,"Tanks-Russia","UA Source","Day","Russia",0,0,"Tanks","UA Source-Russia"
193,37,"Armored Vehicles-Russia","UA Source","Day","Russia",0,0,"Armored Vehicles","UA Source-Russia"
195,350,"Military Deaths-Russia","UA Source","Day","Russia",0,0,"Military Deaths","UA Source-Russia"
195,9,"Tanks-Russia","UA Source","Day","Russia",0,0,"Tanks","UA Source-Russia"
196,460,"Military Deaths-Russia","UA Source","Day","Russia",0,0,"Military Deaths","UA Source-Russia"
196,210,"Military Deaths-Ukraine","RU Source","Day","Ukraine",0,0,"Military Deaths","RU Source-Ukraine"
200,400,"Military Deaths-Russia","UA Source","Day","Russia",0,0,"Military Deaths","UA Source-Russia"
200,33,"Armored Vehicles-Russia","UA Source","Day","Russia",0,0,"Armored Vehicles","UA Source-Russia"
200,18,"Tanks-Russia","UA Source","Day","Russia",0,0,"Tanks","UA Source-Russia"
199,350,"Military Deaths-Russia","UA Source","Day","Russia",0,0,"Military Deaths","UA Source-Russia"
201,300,"Military Deaths-Russia","Other","Day","Russia",0,0,"Military Deaths","Other-Russia"
201,1,"Jets-Russia","Other","Day","Russia",0,0,"Jets","Other-Russia"
201,1,"UAVs-Russia","Other","Day","Russia",0,0,"UAVs","Other-Russia"
221,500,"Military Deaths-Russia","UA Source","Day","Russia",0,0,"Military Deaths","UA Source-Russia"
242,500,"Military Deaths-Russia","UA Source","Day","Russia",0,0,"Military Deaths","UA Source-Russia"
242,18,"Armored Vehicles-Russia","UA Source","Day","Russia",0,0,"Armored Vehicles","UA Source-Russia"
242,14,"Artillery-Russia","UA Source","Day","Russia",0,0,"Artillery","UA Source-Russia"
242,5,"Tanks-Russia","UA Source","Day","Russia",0,0,"Tanks","UA Source-Russia"
242,2,"Helicopters-Russia","UA Source","Day","Russia",0,0,"Helicopters","UA Source-Russia"
253,730,"Military Deaths-Russia","UA Source","Day","Russia",0,0,"Military Deaths","UA Source-Russia"
253,20,"Tanks-Russia","UA Source","Day","Russia",0,0,"Tanks","UA Source-Russia"
253,27,"Armored Vehicles-Russia","UA Source","Day","Russia",0,0,"Armored Vehicles","UA Source-Russia"
263,650,"Military Deaths-Russia","UA Source","Day","Russia",0,0,"Military Deaths","UA Source-Russia"
316,810,"Military Deaths-Russia","UA Source","Day","Russia",0,0,"Military Deaths","UA Source-Russia"
348,870,"Military Deaths-Russia","UA Source","Day","Russia",0,0,"Military Deaths","UA Source-Russia"
349,1030,"Military Deaths-Russia","UA Source","Day","Russia",0,0,"Military Deaths","UA Source-Russia"
353,1140,"Military Deaths-Russia","UA Source","Day","Russia",0,0,"Military Deaths","UA Source-Russia"
1,40,"Military Deaths-Ukraine","UA Source","Cumulative","Ukraine",0,0,"Military Deaths","UA Source-Ukraine"
2,1000,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
3,3500,"Military Casualties-Russia","UA Source","Cumulative","Russia",0,0,"Military Casualties","UA Source-Russia"
5,352,"Civilian Deaths-Ukraine","UA Source","Cumulative","Ukraine",0,0,"Civilian Deaths","UA Source-Ukraine"
5,1684,"Civilian Injuries-Ukraine","UA Source","Cumulative","Ukraine",0,0,"Civilian Injuries","UA Source-Ukraine"
5,240,"Civilian Casualties-Ukraine","United Nations","Cumulative","Ukraine",0,0,"Civilian Casualties","United Nations-Ukraine"
5,64,"Civilian Deaths-Ukraine","United Nations","Cumulative","Ukraine",0,0,"Civilian Deaths","United Nations-Ukraine"
5,134,"Military Deaths-Ukraine","United Nations","Cumulative","Ukraine",0,0,"Military Deaths","United Nations-Ukraine"
5,5300,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
7,498,"Military Deaths-Russia","RU Source","Cumulative","Russia",0,0,"Military Deaths","RU Source-Russia"
7,1597,"Military Injuries-Russia","RU Source","Cumulative","Russia",0,0,"Military Injuries","RU Source-Russia"
7,2870,"Military Deaths-Ukraine","RU Source","Cumulative","Ukraine",0,0,"Military Deaths","RU Source-Ukraine"
7,3700,"Military Injuries-Ukraine","RU Source","Cumulative","Ukraine",0,0,"Military Injuries","RU Source-Ukraine"
8,9000,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
7,1500,"Military Injuries-Russia","RU Source","Cumulative","Russia",0,0,"Military Injuries","RU Source-Russia"
10,11000,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
11,11000,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
12,500,"Military Deaths-Russia","RU Source","Cumulative","Russia",0,0,"Military Deaths","RU Source-Russia"
12,11000,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
30,1351,"Military Deaths-Russia","RU Source","Cumulative","Russia",0,0,"Military Deaths","RU Source-Russia"
30,3825,"Military Injuries-Russia","RU Source","Cumulative","Russia",0,0,"Military Injuries","RU Source-Russia"
15,549,"Civilian Deaths-Ukraine","United Nations","Cumulative","Ukraine",0,0,"Civilian Deaths","United Nations-Ukraine"
15,957,"Civilian Injuries-Ukraine","United Nations","Cumulative","Ukraine",0,0,"Civilian Injuries","United Nations-Ukraine"
16,12000,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
17,1300,"Military Deaths-Ukraine","UA Source","Cumulative","Ukraine",0,0,"Military Deaths","UA Source-Ukraine"
20,13500,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
20,81,"Jets-Russia","UA Source","Cumulative","Russia",0,0,"Jets","UA Source-Russia"
20,95,"Helicopters-Russia","UA Source","Cumulative","Russia",0,0,"Helicopters","UA Source-Russia"
20,404,"Tanks-Russia","UA Source","Cumulative","Russia",0,0,"Tanks","UA Source-Russia"
20,150,"Artillery-Russia","UA Source","Cumulative","Russia",0,0,"Artillery","UA Source-Russia"
20,1279,"Armored Vehicles-Russia","UA Source","Cumulative","Russia",0,0,"Armored Vehicles","UA Source-Russia"
20,64,"MLRS-Russia","UA Source","Cumulative","Russia",0,0,"MLRS","UA Source-Russia"
20,2,"Ships-Russia","UA Source","Cumulative","Russia",0,0,"Ships","UA Source-Russia"
20,700,"Vehicles & Fuel Tanks-Russia","UA Source","Cumulative","Russia",0,0,"Vehicles & Fuel Tanks","UA Source-Russia"
20,9,"UAVs-Russia","UA Source","Cumulative","Russia",0,0,"UAVs","UA Source-Russia"
21,7000,"Military Deaths-Russia","US Source","Cumulative","Russia",0,0,"Military Deaths","US Source-Russia"
21,13500,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
22,14000,"Military Injuries-Russia","US Source","Cumulative","Russia",0,0,"Military Injuries","US Source-Russia"
22,7000,"Military Deaths-Russia","US Source","Cumulative","Russia",0,0,"Military Deaths","US Source-Russia"
21,13800,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
21,700,"Civilian Deaths-Ukraine","United Nations","Cumulative","Ukraine",0,0,"Civilian Deaths","United Nations-Ukraine"
23,14200,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
23,450,"Tanks-Russia","UA Source","Cumulative","Russia",0,0,"Tanks","UA Source-Russia"
23,1450,"Armored Vehicles-Russia","UA Source","Cumulative","Russia",0,0,"Armored Vehicles","UA Source-Russia"
23,93,"Jets-Russia","UA Source","Cumulative","Russia",0,0,"Jets","UA Source-Russia"
23,112,"Helicopters-Russia","UA Source","Cumulative","Russia",0,0,"Helicopters","UA Source-Russia"
25,2870,"Military Deaths-Ukraine","RU Source","Cumulative","Ukraine",0,0,"Military Deaths","RU Source-Ukraine"
25,3700,"Military Injuries-Ukraine","RU Source","Cumulative","Ukraine",0,0,"Military Injuries","RU Source-Ukraine"
25,780,"Civilian Deaths-Ukraine","United Nations","Cumulative","Ukraine",0,0,"Civilian Deaths","United Nations-Ukraine"
25,1250,"Civilian Injuries-Ukraine","United Nations","Cumulative","Ukraine",0,0,"Civilian Injuries","United Nations-Ukraine"
25,14000,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
20,7000,"Military Deaths-Russia","US Source","Cumulative","Russia",0,0,"Military Deaths","US Source-Russia"
26,9861,"Military Deaths-Russia","RU Source","Cumulative","Russia",0,0,"Military Deaths","RU Source-Russia"
26,16153,"Military Injuries-Russia","RU Source","Cumulative","Russia",0,0,"Military Injuries","RU Source-Russia"
27,9861,"Military Deaths-Russia","RU Source","Cumulative","Russia",0,0,"Military Deaths","RU Source-Russia"
27,16153,"Military Injuries-Russia","Other","Cumulative","Russia",0,0,"Military Injuries","Other-Russia"
29,977,"Civilian Deaths-Ukraine","United Nations","Cumulative","Ukraine",0,0,"Civilian Deaths","United Nations-Ukraine"
29,1594,"Civilian Injuries-Ukraine","United Nations","Cumulative","Ukraine",0,0,"Civilian Injuries","United Nations-Ukraine"
30,30000,"Military Casualties-Ukraine","RU Source","Cumulative","Ukraine",0,0,"Military Casualties","RU Source-Ukraine"
30,14000,"Military Deaths-Ukraine","RU Source","Cumulative","Ukraine",0,0,"Military Deaths","RU Source-Ukraine"
30,16000,"Military Injuries-Ukraine","RU Source","Cumulative","Ukraine",0,0,"Military Injuries","RU Source-Ukraine"
31,117,"Jets-Russia","UA Source","Cumulative","Russia",0,0,"Jets","UA Source-Russia"
31,575,"Tanks-Russia","UA Source","Cumulative","Russia",0,0,"Tanks","UA Source-Russia"
31,51,"AA Systems-Russia","UA Source","Cumulative","Russia",0,0,"AA Systems","UA Source-Russia"
31,127,"Helicopters-Russia","UA Source","Cumulative","Russia",0,0,"Helicopters","UA Source-Russia"
31,1640,"Armored Vehicles-Russia","UA Source","Cumulative","Russia",0,0,"Armored Vehicles","UA Source-Russia"
31,293,"Artillery-Russia","UA Source","Cumulative","Russia",0,0,"Artillery","UA Source-Russia"
31,91,"MLRS-Russia","UA Source","Cumulative","Russia",0,0,"MLRS","UA Source-Russia"
31,7,"Ships-Russia","UA Source","Cumulative","Russia",0,0,"Ships","UA Source-Russia"
31,56,"UAVs-Russia","UA Source","Cumulative","Russia",0,0,"UAVs","UA Source-Russia"
31,1204,"Vehicles & Fuel Tanks-Russia","UA Source","Cumulative","Russia",0,0,"Vehicles & Fuel Tanks","UA Source-Russia"
32,16600,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
32,582,"Tanks-Russia","UA Source","Cumulative","Russia",0,0,"Tanks","UA Source-Russia"
32,121,"Jets-Russia","UA Source","Cumulative","Russia",0,0,"Jets","UA Source-Russia"
32,127,"Helicopters-Russia","UA Source","Cumulative","Russia",0,0,"Helicopters","UA Source-Russia"
32,294,"Artillery-Russia","UA Source","Cumulative","Russia",0,0,"Artillery","UA Source-Russia"
32,1664,"Armored Vehicles-Russia","UA Source","Cumulative","Russia",0,0,"Armored Vehicles","UA Source-Russia"
32,93,"MLRS-Russia","UA Source","Cumulative","Russia",0,0,"MLRS","UA Source-Russia"
32,7,"Ships-Russia","UA Source","Cumulative","Russia",0,0,"Ships","UA Source-Russia"
32,1221,"Vehicles & Fuel Tanks-Russia","UA Source","Cumulative","Russia",0,0,"Vehicles & Fuel Tanks","UA Source-Russia"
32,56,"UAVs-Russia","UA Source","Cumulative","Russia",0,0,"UAVs","UA Source-Russia"
32,52,"AA Systems-Russia","UA Source","Cumulative","Russia",0,0,"AA Systems","UA Source-Russia"
33,1351,"Military Deaths-Russia","RU Source","Cumulative","Russia",0,0,"Military Deaths","RU Source-Russia"
33,16000,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
34,9861,"Military Deaths-Russia","Other","Cumulative","Russia",0,0,"Military Deaths","Other-Russia"
34,16153,"Military Injuries-Russia","Other","Cumulative","Russia",0,0,"Military Injuries","Other-Russia"
37,17000,"Military Deaths-Ukraine","UA Source","Cumulative","Ukraine",0,0,"Military Deaths","UA Source-Ukraine"
38,557,"Military Deaths-Russia","Other","Cumulative","Russia",0,0,"Military Deaths","Other-Russia"
39,1300,"Military Deaths-Ukraine","UA Source","Cumulative","Ukraine",0,0,"Military Deaths","UA Source-Ukraine"
30,1500,"Military Deaths-Russia","RU Source","Cumulative","Russia",0,0,"Military Deaths","RU Source-Russia"
9,700,"Military Deaths-Russia","Other","Cumulative","Russia",0,0,"Military Deaths","Other-Russia"
39,1413,"Civilian Deaths-Ukraine","United Nations","Cumulative","Ukraine",0,0,"Civilian Deaths","United Nations-Ukraine"
40,18300,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
42,1083,"Military Deaths-Russia","Other","Cumulative","Russia",0,0,"Military Deaths","Other-Russia"
15,7000,"Military Deaths-Russia","US Source","Cumulative","Russia",0,0,"Military Deaths","US Source-Russia"
43,7000,"Military Deaths-Russia","US Source","Cumulative","Russia",0,0,"Military Deaths","US Source-Russia"
44,19000,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
44,1500,"Civilian Deaths-Ukraine","United Nations","Cumulative","Ukraine",0,0,"Civilian Deaths","United Nations-Ukraine"
46,1384,"Vehicles & Fuel Tanks-Russia","UA Source","Cumulative","Russia",0,0,"Vehicles & Fuel Tanks","UA Source-Russia"
46,722,"Tanks-Russia","UA Source","Cumulative","Russia",0,0,"Tanks","UA Source-Russia"
47,19300,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
47,15000,"Military Deaths-Russia","Other","Cumulative","Russia",0,0,"Military Deaths","Other-Russia"
47,40000,"Military Casualties-Russia","Other","Cumulative","Russia",0,0,"Military Casualties","Other-Russia"
45,1351,"Military Deaths-Russia","RU Source","Cumulative","Russia",0,0,"Military Deaths","RU Source-Russia"
45,18600,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
49,19600,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
49,4450,"Civilian Casualties-Ukraine","United Nations","Cumulative","Ukraine",0,0,"Civilian Casualties","United Nations-Ukraine"
49,1892,"Civilian Deaths-Ukraine","United Nations","Cumulative","Ukraine",0,0,"Civilian Deaths","United Nations-Ukraine"
49,2558,"Civilian Injuries-Ukraine","United Nations","Cumulative","Ukraine",0,0,"Civilian Injuries","United Nations-Ukraine"
50,19900,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
50,160,"Jets-Russia","UA Source","Cumulative","Russia",0,0,"Jets","UA Source-Russia"
